year,stage,group,home_team,away_team,home_score,away_score,score_info
1994,Group Stage,Group A,United States,Colombia,2.0,1.0,
1994,Group Stage,Group A,Switzerland,Colombia,0.0,2.0,
1994,Group Stage,Group A,United States,Romania,0.0,1.0,
1994,Group Stage,Group B,Cameroon,Sweden,2.0,2.0,
1994,Group Stage,Group B,Brazil,Russia,2.0,0.0,
1994,Group Stage,Group B,Brazil,Cameroon,3.0,0.0,
1994,Group Stage,Group B,Sweden,Russia,3.0,1.0,
1994,Group Stage,Group B,Russia,Cameroon,6.0,1.0,
1994,Group Stage,Group B,Brazil,Sweden,1.0,1.0,
1994,Group Stage,Group C,Germany,Bolivia,1.0,0.0,
1994,Group Stage,Group C,Spain,South Korea,2.0,2.0,
1994,Group Stage,Group C,Germany,Spain,1.0,1.0,
1994,Group Stage,Group C,South Korea,Bolivia,0.0,0.0,
1994,Group Stage,Group C,Bolivia,Spain,1.0,3.0,
1994,Group Stage,Group C,Germany,South Korea,3.0,2.0,
1994,Group Stage,Group D,Argentina,Greece,4.0,0.0,
1994,Group Stage,Group D,Nigeria,Bulgaria,3.0,0.0,
1994,Group Stage,Group D,Argentina,Nigeria,2.0,1.0,
1994,Group Stage,Group D,Bulgaria,Greece,4.0,0.0,
1994,Group Stage,Group D,Argentina,Bulgaria,0.0,2.0,
1994,Group Stage,Group D,Greece,Nigeria,0.0,2.0,
1994,Group Stage,Group E,Italy,Republic of Ireland,0.0,1.0,
1994,Group Stage,Group E,Norway,Mexico,1.0,0.0,
1994,Group Stage,Group E,Italy,Norway,1.0,0.0,
1994,Group Stage,Group E,Mexico,Republic of Ireland,2.0,1.0,
1994,Group Stage,Group E,Italy,Mexico,1.0,1.0,
1994,Group Stage,Group E,Republic of Ireland,Norway,0.0,0.0,
1994,Group Stage,Group F,Belgium,Morocco,1.0,0.0,
1994,Group Stage,Group F,Netherlands,Saudi Arabia,2.0,1.0,
1994,Group Stage,Group F,Belgium,Netherlands,1.0,0.0,
1994,Group Stage,Group F,Saudi Arabia,Morocco,2.0,1.0,
1994,Group Stage,Group F,Belgium,Saudi Arabia,0.0,1.0,
1994,Group Stage,Group F,Morocco,Netherlands,1.0,2.0,
1994,Round of 16,,Germany,Belgium,3.0,2.0,
1994,Round of 16,,Spain,Switzerland,3.0,0.0,
1994,Round of 16,,Saudi Arabia,Sweden,1.0,3.0,
1994,Round of 16,,Romania,Argentina,3.0,2.0,
1994,Round of 16,,Netherlands,Republic of Ireland,2.0,0.0,
1994,Round of 16,,Brazil,United States,1.0,0.0,
1994,Round of 16,,Nigeria,Italy,1.0,2.0, a.e.t. 
1994,Round of 16,,Mexico,Bulgaria,1.0,1.0, a.e.t. 
1994,Quarterfinals,,Italy,Spain,2.0,1.0,
1994,Quarterfinals,,Netherlands,Brazil,2.0,3.0,
1994,Quarterfinals,,Bulgaria,Germany,2.0,1.0,
1994,Quarterfinals,,Romania,Sweden,2.0,2.0, a.e.t. 
1994,Semifinals,,Bulgaria,Italy,1.0,2.0,
1994,Semifinals,,Sweden,Brazil,0.0,1.0,
1994,Third Place Match,,Sweden,Bulgaria,4.0,0.0,
1994,Final,,Brazil,Italy,0.0,0.0, a.e.t. 
1998,Group Stage,Group A,Brazil,Scotland,2.0,1.0,
1998,Group Stage,Group A,Morocco,Norway,2.0,2.0,
1998,Group Stage,Group A,Scotland,Norway,1.0,1.0,
1998,Group Stage,Group A,Brazil,Morocco,3.0,0.0,
1998,Group Stage,Group A,Scotland,Morocco,0.0,3.0,
1998,Group Stage,Group A,Brazil,Norway,1.0,2.0,
1998,Group Stage,Group B,Italy,Chile,2.0,2.0,
1998,Group Stage,Group B,Cameroon,Austria,1.0,1.0,
1998,Group Stage,Group B,Chile,Austria,1.0,1.0,
1998,Group Stage,Group B,Italy,Cameroon,3.0,0.0,
1998,Group Stage,Group B,Italy,Austria,2.0,1.0,
1998,Group Stage,Group B,Chile,Cameroon,1.0,1.0,
1998,Group Stage,Group C,Saudi Arabia,Denmark,0.0,1.0,
1998,Group Stage,Group C,France,South Africa,3.0,0.0,
1998,Group Stage,Group C,South Africa,Denmark,1.0,1.0,
1998,Group Stage,Group C,France,Saudi Arabia,4.0,0.0,
1998,Group Stage,Group C,France,Denmark,2.0,1.0,
1998,Group Stage,Group C,South Africa,Saudi Arabia,2.0,2.0,
1998,Group Stage,Group D,Paraguay,Bulgaria,0.0,0.0,
1998,Group Stage,Group D,Spain,Nigeria,2.0,3.0,
1998,Group Stage,Group D,Nigeria,Bulgaria,1.0,0.0,
1998,Group Stage,Group D,Spain,Paraguay,0.0,0.0,
1998,Group Stage,Group D,Nigeria,Paraguay,1.0,3.0,
1998,Group Stage,Group D,Spain,Bulgaria,6.0,1.0,
1998,Group Stage,Group E,South Korea,Mexico,1.0,3.0,
1998,Group Stage,Group E,Netherlands,Belgium,0.0,0.0,
1998,Group Stage,Group E,Belgium,Mexico,2.0,2.0,
1998,Group Stage,Group E,Netherlands,South Korea,5.0,0.0,
1998,Group Stage,Group E,Netherlands,Mexico,2.0,2.0,
1998,Group Stage,Group E,Belgium,South Korea,1.0,1.0,
1998,Group Stage,Group F,FR Yugoslavia,Iran,1.0,0.0,
1998,Group Stage,Group F,Germany,United States,2.0,0.0,
1998,Group Stage,Group F,Germany,FR Yugoslavia,2.0,2.0,
1998,Group Stage,Group F,United States,Iran,1.0,2.0,
1998,Group Stage,Group F,Germany,Iran,2.0,0.0,
1998,Group Stage,Group F,United States,FR Yugoslavia,0.0,1.0,
1998,Group Stage,Group G,England,Tunisia,2.0,0.0,
1998,Group Stage,Group G,Romania,Colombia,1.0,0.0,
1998,Group Stage,Group G,Colombia,Tunisia,1.0,0.0,
1998,Group Stage,Group G,Romania,England,2.0,1.0,
1998,Group Stage,Group G,Colombia,England,0.0,2.0,
1998,Group Stage,Group G,Romania,Tunisia,1.0,1.0,
1998,Group Stage,Group H,Argentina,Japan,1.0,0.0,
1998,Group Stage,Group H,Jamaica,Croatia,1.0,3.0,
1998,Group Stage,Group H,Japan,Croatia,0.0,1.0,
1998,Group Stage,Group H,Argentina,Jamaica,5.0,0.0,
1998,Group Stage,Group H,Argentina,Croatia,1.0,0.0,
1998,Group Stage,Group H,Japan,Jamaica,1.0,2.0,
1998,Round of 16,,Italy,Norway,1.0,0.0,
1998,Round of 16,,Brazil,Chile,4.0,1.0,
1998,Round of 16,,France,Paraguay,1.0,0.0, a.e.t. / g.g. 
1998,Round of 16,,Nigeria,Denmark,1.0,4.0,
1998,Round of 16,,Germany,Mexico,2.0,1.0,
1998,Round of 16,,Netherlands,FR Yugoslavia,2.0,1.0,
1998,Round of 16,,Romania,Croatia,0.0,1.0,
1998,Round of 16,,Argentina,England,2.0,2.0, a.e.t. 
1998,Quarterfinals,,Italy,France,0.0,0.0, a.e.t. 
1998,Quarterfinals,,Brazil,Denmark,3.0,2.0,
1998,Quarterfinals,,Netherlands,Argentina,2.0,1.0,
1998,Quarterfinals,,Germany,Croatia,0.0,3.0,
1998,Semifinals,,Brazil,Netherlands,1.0,1.0, a.e.t. 
1998,Semifinals,,France,Croatia,2.0,1.0,
1998,Third Place Match,,Netherlands,Croatia,1.0,2.0,
1998,Final,,Brazil,France,0.0,3.0,
2002,Group Stage,Group A,France,Senegal,0.0,1.0,
2002,Group Stage,Group A,Uruguay,Denmark,1.0,2.0,
2002,Group Stage,Group A,Denmark,Senegal,1.0,1.0,
2002,Group Stage,Group A,France,Uruguay,0.0,0.0,
2002,Group Stage,Group A,Denmark,France,2.0,0.0,
2002,Group Stage,Group A,Senegal,Uruguay,3.0,3.0,
2002,Group Stage,Group B,Paraguay,South Africa,2.0,2.0,
2002,Group Stage,Group B,Spain,Slovenia,3.0,1.0,
2002,Group Stage,Group B,Spain,Paraguay,3.0,1.0,
2002,Group Stage,Group B,South Africa,Slovenia,1.0,0.0,
2002,Group Stage,Group B,South Africa,Spain,2.0,3.0,
2002,Group Stage,Group B,Slovenia,Paraguay,1.0,3.0,
2002,Group Stage,Group C,Brazil,Turkey,2.0,1.0,
2002,Group Stage,Group C,China,Costa Rica,0.0,2.0,
2002,Group Stage,Group C,Brazil,China,4.0,0.0,
2002,Group Stage,Group C,Costa Rica,Turkey,1.0,1.0,
2002,Group Stage,Group C,Costa Rica,Brazil,2.0,5.0,
2002,Group Stage,Group C,Turkey,China,3.0,0.0,
2002,Group Stage,Group D,South Korea,Poland,2.0,0.0,
2002,Group Stage,Group D,United States,Portugal,3.0,2.0,
2002,Group Stage,Group D,South Korea,United States,1.0,1.0,
2002,Group Stage,Group D,Portugal,Poland,4.0,0.0,
2002,Group Stage,Group D,Portugal,South Korea,0.0,1.0,
2002,Group Stage,Group D,Poland,United States,3.0,1.0,
2002,Group Stage,Group E,Republic of Ireland,Cameroon,1.0,1.0,
2002,Group Stage,Group E,Germany,Saudi Arabia,8.0,0.0,
2002,Group Stage,Group E,Germany,Republic of Ireland,1.0,1.0,
2002,Group Stage,Group E,Cameroon,Saudi Arabia,1.0,0.0,
2002,Group Stage,Group E,Cameroon,Germany,0.0,2.0,
2002,Group Stage,Group E,Saudi Arabia,Republic of Ireland,0.0,3.0,
2002,Group Stage,Group F,Argentina,Nigeria,1.0,0.0,
2002,Group Stage,Group F,England,Sweden,1.0,1.0,
2002,Group Stage,Group F,Sweden,Nigeria,2.0,1.0,
2002,Group Stage,Group F,Argentina,England,0.0,1.0,
2002,Group Stage,Group F,Sweden,Argentina,1.0,1.0,
2002,Group Stage,Group F,Nigeria,England,0.0,0.0,
2002,Group Stage,Group G,Croatia,Mexico,0.0,1.0,
2002,Group Stage,Group G,Italy,Ecuador,2.0,0.0,
2002,Group Stage,Group G,Italy,Croatia,1.0,2.0,
2002,Group Stage,Group G,Mexico,Ecuador,2.0,1.0,
2002,Group Stage,Group G,Mexico,Italy,1.0,1.0,
2002,Group Stage,Group G,Ecuador,Croatia,1.0,0.0,
2002,Group Stage,Group H,Japan,Belgium,2.0,2.0,
2002,Group Stage,Group H,Russia,Tunisia,2.0,0.0,
2002,Group Stage,Group H,Japan,Russia,1.0,0.0,
2002,Group Stage,Group H,Tunisia,Belgium,1.0,1.0,
2002,Group Stage,Group H,Tunisia,Japan,0.0,2.0,
2002,Group Stage,Group H,Belgium,Russia,3.0,2.0,
2002,Round of 16,,Germany,Paraguay,1.0,0.0,
2002,Round of 16,,Denmark,England,0.0,3.0,
2002,Round of 16,,Sweden,Senegal,1.0,2.0, a.e.t. / g.g. 
2002,Round of 16,,Spain,Republic of Ireland,1.0,1.0, a.e.t. 
2002,Round of 16,,Mexico,United States,0.0,2.0,
2002,Round of 16,,Brazil,Belgium,2.0,0.0,
2002,Round of 16,,Japan,Turkey,0.0,1.0,
2002,Round of 16,,South Korea,Italy,2.0,1.0, a.e.t. / g.g. 
2002,Quarterfinals,,England,Brazil,1.0,2.0,
2002,Quarterfinals,,Germany,United States,1.0,0.0,
2002,Quarterfinals,,Spain,South Korea,0.0,0.0, a.e.t. 
2002,Quarterfinals,,Senegal,Turkey,0.0,1.0, a.e.t. / g.g. 
2002,Semifinals,,Germany,South Korea,1.0,0.0,
2002,Semifinals,,Brazil,Turkey,1.0,0.0,
2002,Third Place Match,,South Korea,Turkey,2.0,3.0,
2002,Final,,Germany,Brazil,0.0,2.0,
2006,Group Stage,Group A,Germany,Costa Rica,4.0,2.0,
2006,Group Stage,Group A,Poland,Ecuador,0.0,2.0,
2006,Group Stage,Group A,Germany,Poland,1.0,0.0,
2006,Group Stage,Group A,Ecuador,Costa Rica,3.0,0.0,
2006,Group Stage,Group A,Ecuador,Germany,0.0,3.0,
2006,Group Stage,Group A,Costa Rica,Poland,1.0,2.0,
2006,Group Stage,Group B,England,Paraguay,1.0,0.0,
2006,Group Stage,Group B,Trinidad and Tobago,Sweden,0.0,0.0,
2006,Group Stage,Group B,England,Trinidad and Tobago,2.0,0.0,
2006,Group Stage,Group B,Sweden,Paraguay,1.0,0.0,
2006,Group Stage,Group B,Sweden,England,2.0,2.0,
2006,Group Stage,Group B,Paraguay,Trinidad and Tobago,2.0,0.0,
2006,Group Stage,Group C,Argentina,Ivory Coast,2.0,1.0,
2006,Group Stage,Group C,Serbia and Montenegro,Netherlands,0.0,1.0,
2006,Group Stage,Group C,Argentina,Serbia and Montenegro,6.0,0.0,
2006,Group Stage,Group C,Netherlands,Ivory Coast,2.0,1.0,
2006,Group Stage,Group C,Netherlands,Argentina,0.0,0.0,
2006,Group Stage,Group C,Ivory Coast,Serbia and Montenegro,3.0,2.0,
2006,Group Stage,Group D,Mexico,Iran,3.0,1.0,
2006,Group Stage,Group D,Angola,Portugal,0.0,1.0,
2006,Group Stage,Group D,Mexico,Angola,0.0,0.0,
2006,Group Stage,Group D,Portugal,Iran,2.0,0.0,
2006,Group Stage,Group D,Portugal,Mexico,2.0,1.0,
2006,Group Stage,Group D,Iran,Angola,1.0,1.0,
2006,Group Stage,Group E,United States,Czech Republic,0.0,3.0,
2006,Group Stage,Group E,Italy,Ghana,2.0,0.0,
2006,Group Stage,Group E,Czech Republic,Ghana,0.0,2.0,
2006,Group Stage,Group E,Italy,United States,1.0,1.0,
2006,Group Stage,Group E,Czech Republic,Italy,0.0,2.0,
2006,Group Stage,Group E,Ghana,United States,2.0,1.0,
2006,Group Stage,Group F,Australia,Japan,3.0,1.0,
2006,Group Stage,Group F,Brazil,Croatia,1.0,0.0,
2006,Group Stage,Group F,Japan,Croatia,0.0,0.0,
2006,Group Stage,Group F,Brazil,Australia,2.0,0.0,
2006,Group Stage,Group F,Japan,Brazil,1.0,4.0,
2006,Group Stage,Group F,Croatia,Australia,2.0,2.0,
2006,Group Stage,Group G,South Korea,Togo,2.0,1.0,
2006,Group Stage,Group G,France,Switzerland,0.0,0.0,
2006,Group Stage,Group G,France,South Korea,1.0,1.0,
2006,Group Stage,Group G,Togo,Switzerland,0.0,2.0,
2006,Group Stage,Group G,Togo,France,0.0,2.0,
2006,Group Stage,Group G,Switzerland,South Korea,2.0,0.0,
2006,Group Stage,Group H,Spain,Ukraine,4.0,0.0,
2006,Group Stage,Group H,Tunisia,Saudi Arabia,2.0,2.0,
2006,Group Stage,Group H,Saudi Arabia,Ukraine,0.0,4.0,
2006,Group Stage,Group H,Spain,Tunisia,3.0,1.0,
2006,Group Stage,Group H,Saudi Arabia,Spain,0.0,1.0,
2006,Group Stage,Group H,Ukraine,Tunisia,1.0,0.0,
2006,Round of 16,,Germany,Sweden,2.0,0.0,
2006,Round of 16,,Argentina,Mexico,2.0,1.0, a.e.t. 
2006,Round of 16,,England,Ecuador,1.0,0.0,
2006,Round of 16,,Portugal,Netherlands,1.0,0.0,
2006,Round of 16,,Italy,Australia,1.0,0.0,
2006,Round of 16,,Switzerland,Ukraine,0.0,0.0, a.e.t. 
2006,Round of 16,,Brazil,Ghana,3.0,0.0,
2006,Round of 16,,Spain,France,1.0,3.0,
2006,Quarterfinals,,Germany,Argentina,1.0,1.0, a.e.t. 
2006,Quarterfinals,,Italy,Ukraine,3.0,0.0,
2006,Quarterfinals,,England,Portugal,0.0,0.0, a.e.t. 
2006,Quarterfinals,,Brazil,France,0.0,1.0,
2006,Semifinals,,Germany,Italy,0.0,2.0, a.e.t. 
2006,Semifinals,,Portugal,France,0.0,1.0,
2006,Third Place Match,,Germany,Portugal,3.0,1.0,
2006,Final,,Italy,France,1.0,1.0, a.e.t. 
2010,Group Stage,Group A,South Africa,Mexico,1.0,1.0,
2010,Group Stage,Group A,Uruguay,France,0.0,0.0,
2010,Group Stage,Group A,South Africa,Uruguay,0.0,3.0,
2010,Group Stage,Group A,France,Mexico,0.0,2.0,
2010,Group Stage,Group A,Mexico,Uruguay,0.0,1.0,
2010,Group Stage,Group A,France,South Africa,1.0,2.0,
2010,Group Stage,Group B,South Korea,Greece,2.0,0.0,
2010,Group Stage,Group B,Argentina,Nigeria,1.0,0.0,
2010,Group Stage,Group B,Argentina,South Korea,4.0,1.0,
2010,Group Stage,Group B,Greece,Nigeria,2.0,1.0,
2010,Group Stage,Group B,Nigeria,South Korea,2.0,2.0,
2010,Group Stage,Group B,Greece,Argentina,0.0,2.0,
2010,Group Stage,Group C,England,United States,1.0,1.0,
2010,Group Stage,Group C,Algeria,Slovenia,0.0,1.0,
2010,Group Stage,Group C,Slovenia,United States,2.0,2.0,
2010,Group Stage,Group C,England,Algeria,0.0,0.0,
2010,Group Stage,Group C,Slovenia,England,0.0,1.0,
2010,Group Stage,Group C,United States,Algeria,1.0,0.0,
2010,Group Stage,Group D,Serbia,Ghana,0.0,1.0,
2010,Group Stage,Group D,Germany,Australia,4.0,0.0,
2010,Group Stage,Group D,Germany,Serbia,0.0,1.0,
2010,Group Stage,Group D,Ghana,Australia,1.0,1.0,
2010,Group Stage,Group D,Ghana,Germany,0.0,1.0,
2010,Group Stage,Group D,Australia,Serbia,2.0,1.0,
2010,Group Stage,Group E,Netherlands,Denmark,2.0,0.0,
2010,Group Stage,Group E,Japan,Cameroon,1.0,0.0,
2010,Group Stage,Group E,Netherlands,Japan,1.0,0.0,
2010,Group Stage,Group E,Cameroon,Denmark,1.0,2.0,
2010,Group Stage,Group E,Denmark,Japan,1.0,3.0,
2010,Group Stage,Group E,Cameroon,Netherlands,1.0,2.0,
2010,Group Stage,Group F,Italy,Paraguay,1.0,1.0,
2010,Group Stage,Group F,New Zealand,Slovakia,1.0,1.0,
2010,Group Stage,Group F,Slovakia,Paraguay,0.0,2.0,
2010,Group Stage,Group F,Italy,New Zealand,1.0,1.0,
2010,Group Stage,Group F,Slovakia,Italy,3.0,2.0,
2010,Group Stage,Group F,Paraguay,New Zealand,0.0,0.0,
2010,Group Stage,Group G,Ivory Coast,Portugal,0.0,0.0,
2010,Group Stage,Group G,Brazil,North Korea,2.0,1.0,
2010,Group Stage,Group G,Brazil,Ivory Coast,3.0,1.0,
2010,Group Stage,Group G,Portugal,North Korea,7.0,0.0,
2010,Group Stage,Group G,Portugal,Brazil,0.0,0.0,
2010,Group Stage,Group G,North Korea,Ivory Coast,0.0,3.0,
2010,Group Stage,Group H,Honduras,Chile,0.0,1.0,
2010,Group Stage,Group H,Spain,Switzerland,0.0,1.0,
2010,Group Stage,Group H,Chile,Switzerland,1.0,0.0,
2010,Group Stage,Group H,Spain,Honduras,2.0,0.0,
2010,Group Stage,Group H,Chile,Spain,1.0,2.0,
2010,Group Stage,Group H,Switzerland,Honduras,0.0,0.0,
2010,Round of 16,,Uruguay,South Korea,2.0,1.0,
2010,Round of 16,,United States,Ghana,1.0,2.0, a.e.t. 
2010,Round of 16,,Germany,England,4.0,1.0,
2010,Round of 16,,Argentina,Mexico,3.0,1.0,
2010,Round of 16,,Netherlands,Slovakia,2.0,1.0,
2010,Round of 16,,Brazil,Chile,3.0,0.0,
2010,Round of 16,,Paraguay,Japan,0.0,0.0, a.e.t. 
2010,Round of 16,,Spain,Portugal,1.0,0.0,
2010,Quarterfinals,,Netherlands,Brazil,2.0,1.0,
2010,Quarterfinals,,Uruguay,Ghana,1.0,1.0, a.e.t. 
2010,Quarterfinals,,Argentina,Germany,0.0,4.0,
2010,Quarterfinals,,Paraguay,Spain,0.0,1.0,
2010,Semifinals,,Uruguay,Netherlands,2.0,3.0,
2010,Semifinals,,Germany,Spain,0.0,1.0,
2010,Third Place Match,,Uruguay,Germany,2.0,3.0,
2010,Final,,Netherlands,Spain,0.0,1.0, a.e.t. 
2014,Group Stage,Group A,Brazil,Croatia,3.0,1.0,
2014,Group Stage,Group A,Mexico,Cameroon,1.0,0.0,
2014,Group Stage,Group A,Brazil,Mexico,0.0,0.0,
2014,Group Stage,Group A,Cameroon,Croatia,0.0,4.0,
2014,Group Stage,Group A,Cameroon,Brazil,1.0,4.0,
2014,Group Stage,Group A,Croatia,Mexico,1.0,3.0,
2014,Group Stage,Group B,Spain,Netherlands,1.0,5.0,
2014,Group Stage,Group B,Chile,Australia,3.0,1.0,
2014,Group Stage,Group B,Australia,Netherlands,2.0,3.0,
2014,Group Stage,Group B,Spain,Chile,0.0,2.0,
2014,Group Stage,Group B,Australia,Spain,0.0,3.0,
2014,Group Stage,Group B,Netherlands,Chile,2.0,0.0,
2014,Group Stage,Group C,Colombia,Greece,3.0,0.0,
2014,Group Stage,Group C,Ivory Coast,Japan,2.0,1.0,
2014,Group Stage,Group C,Colombia,Ivory Coast,2.0,1.0,
2014,Group Stage,Group C,Japan,Greece,0.0,0.0,
2014,Group Stage,Group C,Japan,Colombia,1.0,4.0,
2014,Group Stage,Group C,Greece,Ivory Coast,2.0,1.0,
2014,Group Stage,Group D,Uruguay,Costa Rica,1.0,3.0,
2014,Group Stage,Group D,England,Italy,1.0,2.0,
2014,Group Stage,Group D,Uruguay,England,2.0,1.0,
2014,Group Stage,Group D,Italy,Costa Rica,0.0,1.0,
2014,Group Stage,Group D,Italy,Uruguay,0.0,1.0,
2014,Group Stage,Group D,Costa Rica,England,0.0,0.0,
2014,Group Stage,Group E,Switzerland,Ecuador,2.0,1.0,
2014,Group Stage,Group E,France,Honduras,3.0,0.0,
2014,Group Stage,Group E,Switzerland,France,2.0,5.0,
2014,Group Stage,Group E,Honduras,Ecuador,1.0,2.0,
2014,Group Stage,Group E,Honduras,Switzerland,0.0,3.0,
2014,Group Stage,Group E,Ecuador,France,0.0,0.0,
2014,Group Stage,Group F,Argentina,Bosnia and Herzegovina,2.0,1.0,
2014,Group Stage,Group F,Iran,Nigeria,0.0,0.0,
2014,Group Stage,Group F,Argentina,Iran,1.0,0.0,
2014,Group Stage,Group F,Nigeria,Bosnia and Herzegovina,1.0,0.0,
2014,Group Stage,Group F,Nigeria,Argentina,2.0,3.0,
2014,Group Stage,Group F,Bosnia and Herzegovina,Iran,3.0,1.0,
2014,Group Stage,Group G,Germany,Portugal,4.0,0.0,
2014,Group Stage,Group G,Ghana,United States,1.0,2.0,
2014,Group Stage,Group G,Germany,Ghana,2.0,2.0,
2014,Group Stage,Group G,United States,Portugal,2.0,2.0,
2014,Group Stage,Group G,United States,Germany,0.0,1.0,
2014,Group Stage,Group G,Portugal,Ghana,2.0,1.0,
2014,Group Stage,Group H,Belgium,Algeria,2.0,1.0,
2014,Group Stage,Group H,Russia,South Korea,1.0,1.0,
2014,Group Stage,Group H,Belgium,Russia,1.0,0.0,
2014,Group Stage,Group H,South Korea,Algeria,2.0,4.0,
2014,Group Stage,Group H,South Korea,Belgium,0.0,1.0,
2014,Group Stage,Group H,Algeria,Russia,1.0,1.0,
2014,Round of 16,,Brazil,Chile,1.0,1.0, a.e.t. 
2014,Round of 16,,Colombia,Uruguay,2.0,0.0,
2014,Round of 16,,Netherlands,Mexico,2.0,1.0,
2014,Round of 16,,Costa Rica,Greece,1.0,1.0, a.e.t. 
2014,Round of 16,,France,Nigeria,2.0,0.0,
2014,Round of 16,,Germany,Algeria,2.0,1.0, a.e.t. 
2014,Round of 16,,Argentina,Switzerland,1.0,0.0, a.e.t. 
2014,Round of 16,,Belgium,United States,2.0,1.0, a.e.t. 
2014,Quarterfinals,,France,Germany,0.0,1.0,
2014,Quarterfinals,,Brazil,Colombia,2.0,1.0,
2014,Quarterfinals,,Argentina,Belgium,1.0,0.0,
2014,Quarterfinals,,Netherlands,Costa Rica,0.0,0.0, a.e.t. 
2014,Semifinals,,Brazil,Germany,1.0,7.0,
2014,Semifinals,,Netherlands,Argentina,0.0,0.0, a.e.t. 
2014,Third Place Match,,Brazil,Netherlands,0.0,3.0,
2014,Final,,Germany,Argentina,1.0,0.0, a.e.t. 
2018,Group Stage,Group A,Russia,Saudi Arabia,5.0,0.0,
2018,Group Stage,Group A,Egypt,Uruguay,0.0,1.0,
2018,Group Stage,Group A,Russia,Egypt,3.0,1.0,
2018,Group Stage,Group A,Uruguay,Saudi Arabia,1.0,0.0,
2018,Group Stage,Group A,Uruguay,Russia,3.0,0.0,
2018,Group Stage,Group A,Saudi Arabia,Egypt,2.0,1.0,
2018,Group Stage,Group B,Morocco,Iran,0.0,1.0,
2018,Group Stage,Group B,Portugal,Spain,3.0,3.0,
2018,Group Stage,Group B,Portugal,Morocco,1.0,0.0,
2018,Group Stage,Group B,Iran,Spain,0.0,1.0,
2018,Group Stage,Group B,Iran,Portugal,1.0,1.0,
2018,Group Stage,Group B,Spain,Morocco,2.0,2.0,
2018,Group Stage,Group C,France,Australia,2.0,1.0,
2018,Group Stage,Group C,Peru,Denmark,0.0,1.0,
2018,Group Stage,Group C,Denmark,Australia,1.0,1.0,
2018,Group Stage,Group C,France,Peru,1.0,0.0,
2018,Group Stage,Group C,Denmark,France,0.0,0.0,
2018,Group Stage,Group C,Australia,Peru,0.0,2.0,
2018,Group Stage,Group D,Argentina,Iceland,1.0,1.0,
2018,Group Stage,Group D,Croatia,Nigeria,2.0,0.0,
2018,Group Stage,Group D,Argentina,Croatia,0.0,3.0,
2018,Group Stage,Group D,Nigeria,Iceland,2.0,0.0,
2018,Group Stage,Group D,Nigeria,Argentina,1.0,2.0,
2018,Group Stage,Group D,Iceland,Croatia,1.0,2.0,
2018,Group Stage,Group E,Costa Rica,Serbia,0.0,1.0,
2018,Group Stage,Group E,Brazil,Switzerland,1.0,1.0,
2018,Group Stage,Group E,Brazil,Costa Rica,2.0,0.0,
2018,Group Stage,Group E,Serbia,Switzerland,1.0,2.0,
2018,Group Stage,Group E,Serbia,Brazil,0.0,2.0,
2018,Group Stage,Group E,Switzerland,Costa Rica,2.0,2.0,
2018,Group Stage,Group F,Germany,Mexico,0.0,1.0,
2018,Group Stage,Group F,Sweden,South Korea,1.0,0.0,
2018,Group Stage,Group F,South Korea,Mexico,1.0,2.0,
2018,Group Stage,Group F,Germany,Sweden,2.0,1.0,
2018,Group Stage,Group F,South Korea,Germany,2.0,0.0,
2018,Group Stage,Group F,Mexico,Sweden,0.0,3.0,
2018,Group Stage,Group G,Belgium,Panama,3.0,0.0,
2018,Group Stage,Group G,Tunisia,England,1.0,2.0,
2018,Group Stage,Group G,Belgium,Tunisia,5.0,2.0,
2018,Group Stage,Group G,England,Panama,6.0,1.0,
2018,Group Stage,Group G,England,Belgium,0.0,1.0,
2018,Group Stage,Group G,Panama,Tunisia,1.0,2.0,
2018,Group Stage,Group H,Colombia,Japan,1.0,2.0,
2018,Group Stage,Group H,Poland,Senegal,1.0,2.0,
2018,Group Stage,Group H,Japan,Senegal,2.0,2.0,
2018,Group Stage,Group H,Poland,Colombia,0.0,3.0,
2018,Group Stage,Group H,Japan,Poland,0.0,1.0,
2018,Group Stage,Group H,Senegal,Colombia,0.0,1.0,
2018,Round of 16,,France,Argentina,4.0,3.0,
2018,Round of 16,,Uruguay,Portugal,2.0,1.0,
2018,Round of 16,,Spain,Russia,1.0,1.0, a.e.t. 
2018,Round of 16,,Croatia,Denmark,1.0,1.0, a.e.t. 
2018,Round of 16,,Brazil,Mexico,2.0,0.0,
2018,Round of 16,,Belgium,Japan,3.0,2.0,
2018,Round of 16,,Sweden,Switzerland,1.0,0.0,
2018,Round of 16,,Colombia,England,1.0,1.0, a.e.t. 
2018,Quarterfinals,,Uruguay,France,0.0,2.0,
2018,Quarterfinals,,Brazil,Belgium,1.0,2.0,
2018,Quarterfinals,,Sweden,England,0.0,2.0,
2018,Quarterfinals,,Russia,Croatia,2.0,2.0, a.e.t. 
2018,Semifinals,,France,Belgium,1.0,0.0,
2018,Semifinals,,Croatia,England,2.0,1.0, a.e.t. 
2018,Third Place Match,,Belgium,England,2.0,0.0,
2018,Final,,France,Croatia,4.0,2.0,
2022,Group Stage,Group A,Qatar,Ecuador,0.0,2.0,
2022,Group Stage,Group A,Senegal,Netherlands,0.0,2.0,
2022,Group Stage,Group A,Qatar,Senegal,1.0,3.0,
2022,Group Stage,Group A,Netherlands,Ecuador,1.0,1.0,
2022,Group Stage,Group A,Ecuador,Senegal,1.0,2.0,
